"idx1","idx2","comb","HV"
"32","3","gauss_sbx",16390083.2985873
"4","0","gauss_inter",16390080.3358306
"10","8","poly_sbx",16390065.7934449
"23","3","gauss_sbx",16390055.3097402
"33","6","gauss_sbx",16390040.1031643
"6","14","poly_sbx",16390014.7734676
"14","10","poly_sbx",16390014.6162815
"31","0","gauss_cross",16390012.6741216
"14","3","poly_uni",16390008.7099603
"16","3","poly_sbx",16389984.0146053
"11","1","poly_sbx",16389975.3760287
"2","1","poly_sbx",16389972.3224833
"11","7","poly_sbx",16389966.3351577
"1","1","poly_uni",16389956.4124688
"16","1","gauss_sbx",16389942.9232504
"10","2","poly_sbx",16389938.9646907
"20","16","gauss_sbx",16389932.5924086
"7","0","gauss_cross",16389926.4248876
"19","0","gauss_cross",16389924.3197128
"20","9","gauss_sbx",16389852.812382
"8","0","poly_inter",16389850.1449925
"7","4","poly_sbx",16389849.1521674
"25","4","gauss_sbx",16389848.6971329
"12","2","poly_uni",16389836.4150179
"30","15","gauss_sbx",16389836.3972442
"12","15","gauss_sbx",16389828.2677568
"4","6","poly_sbx",16389785.9604277
"16","5","gauss_sbx",16389783.4797368
"33","1","gauss_uni",16389780.4224716
"16","7","gauss_sbx",16389762.0475722
"22","2","gauss_uni",16389748.0462061
"36","0","gauss_cross",16389743.8382013
"15","1","gauss_sbx",16389731.1730257
"4","10","poly_sbx",16389715.239672
"9","11","poly_sbx",16389701.7333474
"5","2","poly_uni",16389689.7736977
"15","3","gauss_uni",16389680.6804568
"32","6","gauss_sbx",16389675.7537255
"24","10","gauss_sbx",16389674.3043542
"4","1","poly_uni",16389655.8410322
"3","4","poly_uni",16389652.4990223
"24","4","gauss_sbx",16389644.8252106
"10","7","poly_sbx",16389623.2530803
"35","4","gauss_uni",16389607.9766449
"30","12","gauss_sbx",16389536.7830796
"22","3","gauss_sbx",16389501.4832643
"12","10","gauss_sbx",16389475.8731146
"16","15","poly_sbx",16389462.4723062
"5","3","poly_uni",16389419.6071484
"34","2","gauss_uni",16389396.1319356
"3","12","poly_sbx",16389385.3502418
"31","2","gauss_uni",16389380.1930056
"26","3","gauss_sbx",16389377.7250507
"7","0","poly_cross",16389373.1786568
"8","13","poly_sbx",16389367.9785865
"32","0","gauss_cross",16389363.9974055
"3","6","gauss_sbx",16389356.493154
"19","11","gauss_sbx",16389345.6013974
"2","14","poly_sbx",16389341.1520902
"7","11","poly_sbx",16389334.0223258
"9","8","gauss_sbx",16389321.1631391
"7","1","poly_sbx",16389238.1169677
"8","6","gauss_sbx",16389232.4295361
"29","2","gauss_uni",16389200.2344262
"26","0","gauss_cross",16389194.35588
"1","16","gauss_sbx",16389190.0480372
"10","6","poly_sbx",16389175.1190705
"7","1","poly_uni",16389149.465948
"35","0","gauss_cross",16389133.1864063
"30","13","gauss_sbx",16389130.1211016
"23","8","gauss_sbx",16389129.5876062
"24","5","gauss_sbx",16389128.9756252
"32","10","gauss_sbx",16389089.2292783
"14","1","poly_uni",16389079.5026242
"33","0","gauss_cross",16389043.821089
"37","9","gauss_sbx",16389043.5725122
"34","16","gauss_sbx",16389043.4031041
"34","4","gauss_uni",16389024.7149252
"13","11","poly_sbx",16389016.1763445
"10","8","gauss_sbx",16389010.5822773
"26","13","gauss_sbx",16388997.4407931
"1","3","poly_sbx",16388983.8685128
"27","13","gauss_sbx",16388980.3768198
"2","13","poly_sbx",16388971.6910211
"15","0","gauss_cross",16388961.5659753
"7","0","gauss_inter",16388950.2448225
"34","12","gauss_sbx",16388922.5115786
"38","16","gauss_sbx",16388917.4292454
"19","9","gauss_sbx",16388887.7583545
"10","0","poly_inter",16388886.0227956
"10","0","gauss_cross",16388878.2515915
"2","5","poly_sbx",16388874.5301816
"36","1","gauss_uni",16388849.4652278
"32","16","gauss_sbx",16388843.883548
"12","3","poly_sbx",16388839.3226024
"12","3","gauss_sbx",16388836.8702289
"13","10","poly_sbx",16388781.8018793
"22","0","gauss_cross",16388688.5449073
"6","0","poly_cross",16388641.0034123
"6","0","poly_inter",16388634.6692646
"1","12","poly_sbx",16388618.2901769
"11","6","gauss_sbx",16388618.1191133
"15","3","poly_uni",16388605.2533383
"5","12","gauss_sbx",16388582.6007627
"39","4","gauss_sbx",16388529.4325837
"0","3","inv_sbx",16388506.0631068
"6","5","poly_sbx",16388480.0291626
"3","0","poly_cross",16388471.5685123
"37","8","gauss_sbx",16388428.8472513
"35","1","gauss_sbx",16388371.4693036
"14","0","poly_inter",16388359.2383002
"1","7","gauss_sbx",16388358.1681564
"40","11","gauss_sbx",16388351.2866588
"1","0","poly_inter",16388341.282038
"4","14","gauss_sbx",16388327.6762388
"0","4","inv_sbx",16388266.5656311
"5","1","poly_sbx",16388260.3125564
"6","1","poly_sbx",16388204.6975293
"29","3","gauss_uni",16388188.0027951
"31","6","gauss_sbx",16388161.9585062
"2","8","poly_sbx",16388151.8797497
"22","8","gauss_sbx",16388131.8651773
"26","16","gauss_sbx",16388121.2880936
"4","14","poly_sbx",16388113.9128838
"3","10","poly_sbx",16388107.2635951
"5","2","gauss_sbx",16388103.4055786
"16","0","poly_cross",16388096.3742221
"12","13","poly_sbx",16388040.9928561
"10","4","poly_sbx",16388037.2397463
"2","1","gauss_sbx",16388035.623915
"10","10","gauss_sbx",16388029.3961498
"16","12","poly_sbx",16388021.3556625
"14","1","poly_sbx",16387967.6274957
"6","2","poly_uni",16387935.0514583
"11","5","poly_sbx",16387929.9275508
"34","1","gauss_uni",16387899.3649799
"3","14","poly_sbx",16387879.7446997
"7","5","poly_sbx",16387878.0863398
"36","0","gauss_inter",16387823.6750332
"8","15","poly_sbx",16387819.1926354
"16","7","poly_sbx",16387817.6377437
"16","8","poly_sbx",16387801.1866778
"16","13","poly_sbx",16387791.9633531
"4","1","gauss_uni",16387783.3085792
"3","11","gauss_sbx",16387781.9423277
"3","1","poly_sbx",16387777.0411108
"2","0","poly_inter",16387775.210239
"15","8","gauss_sbx",16387762.7943327
"37","16","gauss_sbx",16387758.6228839
"12","10","poly_sbx",16387758.4689379
"6","6","poly_sbx",16387735.240402
"31","1","gauss_uni",16387732.5770052
"25","0","gauss_inter",16387712.4207723
"5","15","poly_sbx",16387697.6468814
"4","8","poly_sbx",16387694.0502371
"4","16","gauss_sbx",16387666.9073097
"9","0","poly_inter",16387655.0475796
"14","0","gauss_cross",16387652.5615439
"13","6","poly_sbx",16387581.2937689
"11","0","poly_inter",16387568.9113573
"3","0","poly_inter",16387519.0659997
"21","4","gauss_sbx",16387503.2131068
"16","1","poly_uni",16387501.7883962
"14","2","gauss_uni",16387490.8911896
"7","16","gauss_sbx",16387482.9549692
"0","6","inv_sbx",16387470.9670535
"29","1","gauss_sbx",16387434.8473663
"34","14","gauss_sbx",16387403.1538475
"27","7","gauss_sbx",16387368.733277
"9","7","poly_sbx",16387361.920329
"13","2","gauss_sbx",16387360.1059515
"40","4","gauss_sbx",16387303.7240031
"10","4","poly_uni",16387263.8089112
"28","15","gauss_sbx",16387239.3903748
"6","15","gauss_sbx",16387232.8998543
"37","4","gauss_sbx",16387229.7836473
"5","12","poly_sbx",16387223.4560658
"6","4","gauss_sbx",16387214.1110163
"32","1","gauss_sbx",16387193.0532307
"7","2","gauss_uni",16387185.1121023
"38","0","gauss_inter",16387179.9284304
"27","0","gauss_inter",16387159.3027979
"21","0","gauss_inter",16387143.4004214
"40","6","gauss_sbx",16387082.3422357
"26","12","gauss_sbx",16387065.6842256
"3","2","poly_uni",16387053.7826672
"20","13","gauss_sbx",16386997.3036574
"16","15","gauss_sbx",16386982.2584987
"38","15","gauss_sbx",16386919.567865
"7","0","poly_inter",16386883.7678599
"28","2","gauss_uni",16386868.216947
"25","0","gauss_cross",16386861.3634799
"6","3","poly_uni",16386847.9036664
"12","1","poly_uni",16386842.8887428
"6","16","poly_sbx",16386801.3353325
"6","8","gauss_sbx",16386791.5128289
"38","0","gauss_cross",16386781.8031673
"35","0","gauss_inter",16386756.9709494
"26","15","gauss_sbx",16386714.1156083
"31","0","gauss_inter",16386710.9190628
"7","3","poly_sbx",16386700.3059395
"2","9","poly_sbx",16386696.3889084
"21","3","gauss_uni",16386687.221753
"30","6","gauss_sbx",16386676.7520165
"39","15","gauss_sbx",16386663.6774276
"7","2","poly_uni",16386589.6454663
"39","8","gauss_sbx",16386564.9316049
"11","9","poly_sbx",16386562.4481205
"11","13","gauss_sbx",16386518.8991974
"12","8","gauss_sbx",16386499.5353796
"26","3","gauss_uni",16386486.5884957
"35","5","gauss_sbx",16386454.9910412
"16","6","gauss_sbx",16386451.5303247
"12","5","gauss_sbx",16386414.2660349
"21","14","gauss_sbx",16386411.9121399
"17","4","gauss_sbx",16386383.7808381
"37","15","gauss_sbx",16386382.8479132
"27","6","gauss_sbx",16386381.4572132
"2","11","poly_sbx",16386374.550806
"32","2","gauss_sbx",16386369.2348467
"5","11","gauss_sbx",16386364.2220345
"24","2","gauss_sbx",16386363.9611423
"31","3","gauss_uni",16386352.2769649
"1","3","gauss_sbx",16386333.0048857
"15","1","poly_uni",16386307.2168911
"28","0","gauss_cross",16386266.9797318
"14","2","poly_sbx",16386263.9805558
"37","1","gauss_uni",16386231.9032775
"8","3","poly_uni",16386215.7039007
"35","10","gauss_sbx",16386190.6081077
"33","10","gauss_sbx",16386180.23952
"7","9","poly_sbx",16386167.0412255
"2","0","poly_cross",16386166.6203502
"9","4","poly_sbx",16386111.2152971
"12","12","gauss_sbx",16385990.890494
"14","1","gauss_uni",16385982.0825128
"19","3","gauss_sbx",16385974.9063552
"1","16","poly_sbx",16385946.3898154
"15","11","gauss_sbx",16385943.8951508
"12","2","gauss_sbx",16385939.8356971
"13","12","gauss_sbx",16385907.6396166
"8","0","poly_cross",16385894.7296796
"13","3","poly_sbx",16385851.5066403
"11","2","poly_uni",16385840.0156504
"11","6","poly_sbx",16385821.9442814
"31","15","gauss_sbx",16385821.41818
"34","7","gauss_sbx",16385808.7685029
"4","16","poly_sbx",16385806.014658
"8","1","poly_uni",16385800.1483574
"21","11","gauss_sbx",16385749.3469378
"17","7","gauss_sbx",16385746.3098733
"3","0","gauss_inter",16385726.3482791
"8","3","gauss_sbx",16385714.1404016
"8","1","gauss_sbx",16385688.6259326
"4","1","poly_sbx",16385616.6127297
"14","15","poly_sbx",16385612.9304792
"12","5","poly_sbx",16385573.5555454
"34","13","gauss_sbx",16385553.015228
"10","1","gauss_uni",16385530.8360595
"5","4","gauss_sbx",16385528.3711867
"11","13","poly_sbx",16385500.5647166
"35","7","gauss_sbx",16385493.4373181
"15","12","gauss_sbx",16385461.4172135
"9","0","gauss_inter",16385444.0230459
"8","1","gauss_uni",16385423.9448265
"28","3","gauss_uni",16385419.6825956
"5","0","poly_inter",16385409.4101969
"1","8","gauss_sbx",16385396.5686779
"38","4","gauss_uni",16385367.5214002
"4","8","gauss_sbx",16385366.3973983
"32","13","gauss_sbx",16385362.1776427
"15","3","poly_sbx",16385348.9612862
"38","6","gauss_sbx",16385347.8239496
"39","1","gauss_uni",16385314.6838102
"6","6","gauss_sbx",16385298.0840368
"9","16","gauss_sbx",16385271.3250632
"2","10","poly_sbx",16385235.0316895
"14","14","gauss_sbx",16385232.4334359
"40","13","gauss_sbx",16385194.0709779
"13","16","gauss_sbx",16385182.3066702
"36","5","gauss_sbx",16385167.2104256
"14","4","gauss_sbx",16385165.9330667
"5","5","poly_sbx",16385160.1949216
"3","8","poly_sbx",16385149.6456462
"26","7","gauss_sbx",16385138.0721224
"10","16","poly_sbx",16385108.4178973
"14","3","gauss_sbx",16385071.4882477
"23","4","gauss_uni",16385061.4277736
"33","3","gauss_sbx",16385048.6378371
"14","14","poly_sbx",16385023.1175876
"16","1","gauss_uni",16384998.4914109
"0","16","inv_sbx",16384976.7178567
"15","0","poly_cross",16384964.6177207
"28","9","gauss_sbx",16384882.1654534
"33","7","gauss_sbx",16384867.1750045
"35","3","gauss_sbx",16384850.6355881
