"x","y","z","output"
0,-5,-5,-241.759231629744
1.66666666666667,-5,-5,-237.2282042197
3.33333333333333,-5,-5,-74.2915722315679
5,-5,-5,-252.715826897777
-5,-3.33333333333333,-5,-237.034727146053
-3.33333333333333,-3.33333333333333,-5,-178.605487348065
-1.66666666666667,-3.33333333333333,-5,-249.451355889557
0,-3.33333333333333,-5,-258.79965175107
1.66666666666667,-3.33333333333333,-5,-55.1023311523083
3.33333333333333,-3.33333333333333,-5,-221.895308434429
5,-3.33333333333333,-5,-229.867636446846
-5,-1.66666666666667,-5,-81.1040595754226
-3.33333333333333,-1.66666666666667,-5,-275.026296548814
-1.66666666666667,-1.66666666666667,-5,-209.6935264509
0,-1.66666666666667,-5,-205.181385432457
1.66666666666667,-1.66666666666667,-5,-222.145486203964
3.33333333333333,-1.66666666666667,-5,-234.686628473865
5,-1.66666666666667,-5,-195.120922452947
-5,0,-5,-224.330511742682
-3.33333333333333,0,-5,-249.061900880168
-1.66666666666667,0,-5,-170.353621237612
0,0,-5,-211.277157353367
1.66666666666667,0,-5,-286.318203388497
3.33333333333333,0,-5,-191.534913688446
5,0,-5,-73.1385720374936
-5,1.66666666666667,-5,-254.052118674014
-3.33333333333333,1.66666666666667,-5,-156.106508983649
-1.66666666666667,1.66666666666667,-5,-263.08692365555
0,1.66666666666667,-5,-150.103515583824
1.66666666666667,1.66666666666667,-5,-216.329990804835
3.33333333333333,1.66666666666667,-5,-182.869408016292
5,1.66666666666667,-5,-249.240547045911
-5,3.33333333333333,-5,-106.337068327776
-3.33333333333333,3.33333333333333,-5,-149.893616347981
-1.66666666666667,3.33333333333333,-5,-236.730228539006
0,3.33333333333333,-5,-166.941535123876
1.66666666666667,3.33333333333333,-5,-247.574351631053
3.33333333333333,3.33333333333333,-5,-297.36668684743
5,3.33333333333333,-5,-138.959378892133
-5,5,-5,-256.819757351579
-3.33333333333333,5,-5,-238.761955814756
-1.66666666666667,5,-5,-219.896005208409
0,5,-5,-185.207124048136
1.66666666666667,5,-5,-266.130906069545
3.33333333333333,5,-5,-187.260143031593
5,5,-5,-255.277875515707
-5,-5,-3.33333333333333,-291.515543429456
-3.33333333333333,-5,-3.33333333333333,-102.084356804209
-1.66666666666667,-5,-3.33333333333333,-273.484333904739
0,-5,-3.33333333333333,-185.142713070864
1.66666666666667,-5,-3.33333333333333,-251.144559873396
3.33333333333333,-5,-3.33333333333333,-112.150126634945
5,-5,-3.33333333333333,-260.764397817147
-5,-3.33333333333333,-3.33333333333333,-222.067763526001
-3.33333333333333,-3.33333333333333,-3.33333333333333,-234.808891969121
-1.66666666666667,-3.33333333333333,-3.33333333333333,-185.335611310826
0,-3.33333333333333,-3.33333333333333,-281.615986116021
1.66666666666667,-3.33333333333333,-3.33333333333333,42.9433098055427
3.33333333333333,-3.33333333333333,-3.33333333333333,-275.893532044159
5,-3.33333333333333,-3.33333333333333,-268.274171372908
-5,-1.66666666666667,-3.33333333333333,-185.757389261691
-3.33333333333333,-1.66666666666667,-3.33333333333333,-185.354892867684
-1.66666666666667,-1.66666666666667,-3.33333333333333,-222.43978159923
0,-1.66666666666667,-3.33333333333333,-202.40896378333
1.66666666666667,-1.66666666666667,-3.33333333333333,-268.026609401429
3.33333333333333,-1.66666666666667,-3.33333333333333,-204.937311340637
5,-1.66666666666667,-3.33333333333333,-115.582915824907
-5,0,-3.33333333333333,-228.42419827389
-3.33333333333333,0,-3.33333333333333,-288.110739097119
-1.66666666666667,0,-3.33333333333333,-49.7881469241936
0,0,-3.33333333333333,-248.244681411878
1.66666666666667,0,-3.33333333333333,-241.50713276985
3.33333333333333,0,-3.33333333333333,-115.785678273829
5,0,-3.33333333333333,-214.470712739525
-5,1.66666666666667,-3.33333333333333,-283.434014775478
-3.33333333333333,1.66666666666667,-3.33333333333333,30.9045846861282
-1.66666666666667,1.66666666666667,-3.33333333333333,-268.314475217722
0,1.66666666666667,-3.33333333333333,-215.052392569048
1.66666666666667,1.66666666666667,-3.33333333333333,-213.29824074065
3.33333333333333,1.66666666666667,-3.33333333333333,-231.660214999111
5,1.66666666666667,-3.33333333333333,-274.356759399474
-5,3.33333333333333,-3.33333333333333,-152.327748958978
-3.33333333333333,3.33333333333333,-3.33333333333333,-270.632868592501
-1.66666666666667,3.33333333333333,-3.33333333333333,-201.148242142751
0,3.33333333333333,-3.33333333333333,-69.9610800209211
1.66666666666667,3.33333333333333,-3.33333333333333,-219.233065871297
3.33333333333333,3.33333333333333,-3.33333333333333,-274.409222408695
