"","x","y","z","output"
"88",-1.66666666666667,0,-5,1363313.45395884
"89",0,0,-5,6817289.1592136
"90",1.66666666666667,0,-5,17715122.3934057
"91",3.33333333333333,0,-5,34056813.1565349
"92",5,0,-5,55842361.4486016
"93",-5,1.66666666666667,-5,13791108.7541335
"94",-3.33333333333333,1.66666666666667,-5,1179054.1239392
"95",-1.66666666666667,1.66666666666667,-5,1194362.95657923
"96",0,1.66666666666667,-5,6437031.62111386
"97",1.66666666666667,1.66666666666667,-5,17123557.8145858
"98",3.33333333333333,1.66666666666667,-5,33253941.5369949
"99",5,1.66666666666667,-5,54828182.7883414
"100",-5,3.33333333333333,-5,48882625.721666
"101",-3.33333333333333,3.33333333333333,-5,8076912.85989089
"102",-1.66666666666667,3.33333333333333,-5,6150566.92731468
"103",0,3.33333333333333,-5,11212585.1953621
"104",1.66666666666667,3.33333333333333,-5,21687804.3481139
"105",3.33333333333333,3.33333333333333,-5,37606881.0298029
"106",5,3.33333333333333,-5,58969815.2404293
"107",-5,5,-5,159572140.318127
"108",-3.33333333333333,5,-5,30915793.2233825
"109",-1.66666666666667,5,-5,16320258.8910874
"110",0,5,-5,21143949.8819584
"111",1.66666666666667,5,-5,31407861.9939901
"112",3.33333333333333,5,-5,47115631.6349589
"113",5,5,-5,68267258.8048652
"114",-5,-5,-3.33333333333333,62625775.0800213
"115",-3.33333333333333,-5,-3.33333333333333,58946054.789064
"116",-1.66666666666667,-5,-3.33333333333333,60821098.7534192
"117",0,-5,-3.33333333333333,68256713.3415063
"118",1.66666666666667,-5,-3.33333333333333,81259246.5720968
"119",3.33333333333333,-5,-3.33333333333333,99835623.1261209
"120",5,-5,-3.33333333333333,123993381.159429
"121",-5,-3.33333333333333,-3.33333333333333,32591650.4650673
"122",-3.33333333333333,-3.33333333333333,-3.33333333333333,27632567.2731234
"123",-1.66666666666667,-3.33333333333333,-3.33333333333333,28170351.1476972
"124",0,-3.33333333333333,-3.33333333333333,34207029.1276112
"125",1.66666666666667,-3.33333333333333,-3.33333333333333,45744946.7934562
"126",3.33333333333333,-3.33333333333333,-3.33333333333333,62786791.981576
"127",5,-3.33333333333333,-3.33333333333333,85335619.8127675
"128",-5,-1.66666666666667,-3.33333333333333,15953060.9320993
"129",-3.33333333333333,-1.66666666666667,-3.33333333333333,10383573.9548978
"130",-1.66666666666667,-1.66666666666667,-3.33333333333333,10128630.2166802
"131",0,-1.66666666666667,-3.33333333333333,15339029.5347723
"132",1.66666666666667,-1.66666666666667,-3.33333333333333,26014621.7467662
"133",3.33333333333333,-1.66666666666667,-3.33333333333333,42155438.1458138
"134",5,-1.66666666666667,-3.33333333333333,63761708.0601928
"135",-5,0,-3.33333333333333,11425307.2698123
"136",-3.33333333333333,0,-3.33333333333333,2596665.03731763
"137",-1.66666666666667,0,-3.33333333333333,1957821.24406859
"138",0,0,-3.33333333333333,6705445.30775486
"139",1.66666666666667,0,-3.33333333333333,16901589.4254817
"140",3.33333333333333,0,-3.33333333333333,32544732.4053166
"141",5,0,-3.33333333333333,53633434.2883973
"142",-5,1.66666666666667,-3.33333333333333,27182176.8258002
"143",-3.33333333333333,1.66666666666667,-3.33333333333333,1601115.32076059
"144",-1.66666666666667,1.66666666666667,-3.33333333333333,408288.494603627
"145",0,1.66666666666667,-3.33333333333333,4913680.30996221
